,OTU_name,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_56,OTU_56,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_57,OTU_57,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_58,OTU_58,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,NA
OTU_59,OTU_59,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_60,OTU_60,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_61,OTU_61,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_62,OTU_62,Bacteria,Chloroflexota,Gitt-GS-136,NA,NA,NA,NA
OTU_63,OTU_63,Bacteria,Pseudomonadota,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,NA
OTU_64,OTU_64,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,NA
OTU_65,OTU_65,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,NA,NA,NA
OTU_66,OTU_66,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Nordella,NA
OTU_67,OTU_67,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_68,OTU_68,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_69,OTU_69,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_70,OTU_70,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,NA,NA,NA
OTU_71,OTU_71,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_72,OTU_72,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_73,OTU_73,Bacteria,Pseudomonadota,Gammaproteobacteria,PLTA13,NA,NA,NA
OTU_74,OTU_74,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Sporichthyaceae,NA,NA
OTU_75,OTU_75,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Microvirga,ossetica
OTU_77,OTU_77,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_78,OTU_78,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_79,OTU_79,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,NA
OTU_80,OTU_80,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,madagascariense
OTU_81,OTU_81,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,radiobacter
OTU_82,OTU_82,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_83,OTU_83,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Pedomicrobium,NA
OTU_84,OTU_84,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_86,OTU_86,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_87,OTU_87,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_88,OTU_88,Bacteria,RCP2-54,NA,NA,NA,NA,NA
OTU_89,OTU_89,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
OTU_90,OTU_90,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_91,OTU_91,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_92,OTU_92,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
OTU_93,OTU_93,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_94,OTU_94,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,NA
OTU_95,OTU_95,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_96,OTU_96,Bacteria,Actinomycetota,Actinobacteria,NA,NA,NA,NA
OTU_98,OTU_98,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
OTU_99,OTU_99,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,NA
OTU_100,OTU_100,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,NA
OTU_101,OTU_101,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_102,OTU_102,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_105,OTU_105,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,phaseoli
OTU_106,OTU_106,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Pseudaminobacter,NA
OTU_107,OTU_107,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Phyllobacterium,endophyticum
OTU_108,OTU_108,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Niallia,NA
OTU_109,OTU_109,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_110,OTU_110,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_111,OTU_111,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,NA
OTU_112,OTU_112,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,NA
OTU_113,OTU_113,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,ginsengisoli
OTU_114,OTU_114,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_115,OTU_115,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_116,OTU_116,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_117,OTU_117,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_118,OTU_118,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Microvirga,NA
OTU_119,OTU_119,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_120,OTU_120,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
OTU_121,OTU_121,Bacteria,Actinomycetota,Acidimicrobiia,Actinomarinales,NA,NA,NA
OTU_122,OTU_122,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,NA
OTU_123,OTU_123,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_124,OTU_124,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_125,OTU_125,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
OTU_126,OTU_126,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Rhodoplanes,NA
OTU_128,OTU_128,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
OTU_129,OTU_129,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_130,OTU_130,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Rhodoplanes,NA
OTU_131,OTU_131,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA
OTU_132,OTU_132,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Arenimicrobium,NA
OTU_133,OTU_133,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_134,OTU_134,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,B1-7BS,NA,NA
OTU_135,OTU_135,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_136,OTU_136,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_138,OTU_138,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_139,OTU_139,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,NA
OTU_140,OTU_140,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,NA
OTU_141,OTU_141,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_143,OTU_143,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
OTU_144,OTU_144,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_145,OTU_145,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,NA
OTU_146,OTU_146,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,NA
OTU_147,OTU_147,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_148,OTU_148,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
OTU_149,OTU_149,Bacteria,Pseudomonadota,Gammaproteobacteria,CCD24,NA,NA,NA
OTU_150,OTU_150,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,NA
OTU_151,OTU_151,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,NA,NA
OTU_154,OTU_154,Bacteria,Chloroflexota,TK10,NA,NA,NA,NA
OTU_155,OTU_155,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,NA,NA,NA
OTU_156,OTU_156,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
OTU_157,OTU_157,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Nordella,NA
OTU_158,OTU_158,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,NA
OTU_159,OTU_159,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Brevitalea,NA
OTU_160,OTU_160,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
OTU_161,OTU_161,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
OTU_162,OTU_162,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,NA,NA,NA
OTU_164,OTU_164,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Microvirga,NA
OTU_165,OTU_165,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Virgisporangium,NA
OTU_166,OTU_166,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_167,OTU_167,Bacteria,NB1-j,NA,NA,NA,NA,NA
OTU_168,OTU_168,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodomicrobiaceae,Rhodomicrobium,NA
OTU_169,OTU_169,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_171,OTU_171,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,NA
OTU_172,OTU_172,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
OTU_173,OTU_173,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_174,OTU_174,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_175,OTU_175,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_177,OTU_177,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_178,OTU_178,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudolysinimonas,NA
OTU_179,OTU_179,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
OTU_180,OTU_180,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_181,OTU_181,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,NA
OTU_182,OTU_182,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodomicrobiaceae,Rhodomicrobium,NA
OTU_183,OTU_183,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,NA
OTU_184,OTU_184,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_185,OTU_185,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,NA
OTU_186,OTU_186,Bacteria,Actinomycetota,Acidimicrobiia,Actinomarinales,NA,NA,NA
OTU_187,OTU_187,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_188,OTU_188,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella,NA
OTU_189,OTU_189,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_190,OTU_190,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_191,OTU_191,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,NA
OTU_192,OTU_192,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,NA
OTU_193,OTU_193,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Arenimicrobium,NA
OTU_194,OTU_194,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Pedomicrobium,NA
OTU_195,OTU_195,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_196,OTU_196,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_197,OTU_197,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
OTU_198,OTU_198,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_199,OTU_199,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
OTU_200,OTU_200,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
OTU_201,OTU_201,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA
OTU_202,OTU_202,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_203,OTU_203,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_205,OTU_205,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU_206,OTU_206,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,NA
OTU_207,OTU_207,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_209,OTU_209,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,NA,NA
OTU_210,OTU_210,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_212,OTU_212,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_214,OTU_214,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,NA
OTU_215,OTU_215,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,NA
OTU_218,OTU_218,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,NA
OTU_219,OTU_219,Bacteria,Actinomycetota,Actinobacteria,0319-7L14,NA,NA,NA
OTU_220,OTU_220,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
OTU_221,OTU_221,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,NA
OTU_224,OTU_224,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_225,OTU_225,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lentzea,NA
OTU_226,OTU_226,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_227,OTU_227,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,NA,NA
OTU_228,OTU_228,Bacteria,Actinomycetota,Actinobacteria,0319-7L14,NA,NA,NA
OTU_229,OTU_229,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA
OTU_230,OTU_230,Bacteria,Actinomycetota,Actinobacteria,Kineosporiales,Kineosporiaceae,NA,NA
OTU_231,OTU_231,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_232,OTU_232,Bacteria,Acidobacteriota,Blastocatellia,??.24,NA,NA,NA
OTU_233,OTU_233,Bacteria,Actinomycetota,Thermoleophilia,NA,NA,NA,NA
OTU_234,OTU_234,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_235,OTU_235,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
OTU_236,OTU_236,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_237,OTU_237,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_238,OTU_238,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,NA
OTU_239,OTU_239,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_240,OTU_240,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Bosea,NA
OTU_241,OTU_241,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Paraconexibacter,NA
OTU_242,OTU_242,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,NA
OTU_243,OTU_243,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
OTU_244,OTU_244,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Asanoa,NA
OTU_245,OTU_245,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_246,OTU_246,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Luteimonas,NA
OTU_247,OTU_247,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA
OTU_249,OTU_249,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,Acidobacteriaceae (Subgroup 1),NA,NA
OTU_250,OTU_250,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_251,OTU_251,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_253,OTU_253,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
